code,eng_code,ko_code
q18a5,lodging_institution_dormitory,숙박시설(학교/회사/기숙사/연수원)
q18a6,lodging_institution_temple,숙박시설(사찰)
q18a7,lodging_institution_homestay,숙박시설(홈스테이)
q18a8,lodging_institution_etc,숙박시설(기타)
mtzq19,expense_of_all_per_man,1인당 총경비 지출
mtzq19a1,total_expense_of_lodging_per_man,여행전체 지출금액($)_개별 숙박비
mtzq19a2,total_expense_of_tourist_bureau_of_own_country,여행전체 지출금액($)_거주국여행사에 지불한 경비
mtzq19a3,total_expense_of_shopping,여행전체 지출금액($)_쇼핑비
mtzq19a4,total_expense_of_food,여행전체 지출금액($)_식음료비
mtzq19a5,total_expense_of_transport,여행전체 지출금액($)_현지 교통비
mtzq19a6,total_expense_of_entertainment,여행전체 지출금액($)_오락관련지출
mtzq19a7,total_expense_of_tourist_bureau_of_korea,여행전체 지출금액($)_한국 여행사 지불 경비
mtzq19a8,total_expense_of_culture,여행전체 지출금액($)_문화관련지출
mtzq19a9,total_expense_of_sports,여행전체 지출금액($)_운동관련지출
mtzq19a10,total_expense_of_etc,여행전체 지출금액($)_기타비용
wtzq19,total_expense_of_all_per_man,여행전체 지출금액($)_1인당 총경비 지출 (초과금액포함)
wtzq19a1,total_expense_include_exceed_of_lodging_per_man,여행전체 지출금액($)_개별 숙박비 (초과금액포함)
wtzq19a2,total_expense_include_exceed_of_tourist_bureau_of_own_country,여행전체 지출금액($)_거주국여행사에 지불한 경비 (초과금액포함)
wtzq19a3,total_expense_include_exceed_of_shopping,여행전체 지출금액($)_쇼핑비 (초과금액포함)
wtzq19a4,total_expense_include_exceed_of_food,여행전체 지출금액($)_식음료비 (초과금액포함)
wtzq19a5,total_expense_include_exceed_of_transport,여행전체 지출금액($)_현지 교통비 (초과금액포함)
wtzq19a6,total_expense_include_exceed_of_entertainment,여행전체 지출금액($)_오락관련지출 (초과금액포함)
